,group,variable,month,14.3 OTROS EN MENORES DE 5 AÑOS CANTIDAD,14.3 OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
RIBERALTA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,44.0,32.0,76.0
ROBORE,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,2.0,2.0,4.0
RURRENABAQUE,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,4.0,1.0,5.0
SACABA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,34.0,29.0,63.0
SACACA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1.0,0.0,1.0
SAN BORJA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,8.0,6.0,14.0
SAN CARLOS,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,3.0,4.0,7.0
SAN IGNACIO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,2.0,0.0,2.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,19.0,25.0,44.0
SAN JOAQUIN,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,0.0,1.0,1.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,3.0,1.0,4.0
SAN JULIAN,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,9.0,14.0,23.0
SAN LUCAS,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,2.0,0.0,2.0
SAN MATIAS,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,3.0,1.0,4.0
SAN RAFAEL,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,0.0,1.0,1.0
SANTA ANA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1538.0,1529.0,3067.0
SENA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,0.0,1.0,1.0
SHINAOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,6.0,1.0,7.0
SOPACHUY,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1.0,0.0,1.0
SUCRE,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,8.0,14.0,22.0
TARIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,166.0,174.0,340.0
TIQUIPAYA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,11.0,16.0,27.0
TOTORA(CBBA),diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,6.0,3.0,9.0
TRINIDAD,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,38.0,29.0,67.0
TUPIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,11.0,8.0,19.0
UYUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1.0,2.0,3.0
VALLEGRANDE,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,11.0,11.0,22.0
VILLA MONTES,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,6.0,5.0,11.0
VILLA TUNARI,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,17.0,7.0,24.0
WARNES,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,6.0,5.0,11.0
YACUIBA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,222.0,105.0,327.0
YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,7.0,5.0,12.0
ZUDAÑEZ,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,2.0,4.0,6.0
AIQUILE,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,3.0,4.0,7.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,27.0,14.0,41.0
AZURDUY,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,21.0,18.0,39.0
BAURES,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,0.0,1.0
BERMEJO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,122.0,49.0,171.0
BUENA VISTA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,0.0,1.0
CAMARGO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,2.0,3.0
CAMIRI,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,17.0,15.0,32.0
CARANAVI,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,9.0,0.0,9.0
CHALLAPATA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,4.0,4.0,8.0
CHARAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,4.0,10.0,14.0
CLIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,2.0,1.0,3.0
COBIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,26.0,16.0,42.0
COCHABAMBA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,152.0,115.0,267.0
COLCAPIRHUA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,13.0,9.0,22.0
COTOCA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,3.0,1.0,4.0
CULPINA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,2.0,3.0
EL ALTO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,207.0,201.0,408.0
EL TORNO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,2.0,4.0,6.0
ENTRE RIOS TRJ,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,2.0,0.0,2.0
GUAYARAMERIN,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,19.0,21.0,40.0
HUANUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,5.0,2.0,7.0
JESUS DE MACHACA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,0.0,1.0
LA GUARDIA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,3.0,3.0,6.0
LA PAZ,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,445.0,457.0,902.0
LLALLAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,6.0,6.0,12.0
MAGDALENA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,3.0,3.0,6.0
MONTEAGUDO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,16.0,8.0,24.0
MONTERO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,77.0,79.0,156.0
ORURO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,76.0,60.0,136.0
PAILON,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,0.0,1.0,1.0
PORTACHUELO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,44.0,46.0,90.0
POTOSI,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,47.0,43.0,90.0
PUERTO VILLARROEL,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,11.0,10.0,21.0
PUNATA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,12.0,11.0,23.0
QUILLACOLLO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,134.0,143.0,277.0
RIBERALTA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,33.0,20.0,53.0
ROBORE,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,2.0,1.0,3.0
RURRENABAQUE,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,7.0,5.0,12.0
SACABA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,12.0,24.0,36.0
SAN BORJA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,6.0,6.0,12.0
SAN CARLOS,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,2.0,3.0,5.0
SAN IGNACIO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,2.0,1.0,3.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,33.0,16.0,49.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,4.0,1.0,5.0
SAN JUAN DE YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,4.0,10.0,14.0
SAN JULIAN,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,8.0,7.0,15.0
SAN MATIAS,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,7.0,5.0,12.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,0.0,1.0
SAN RAFAEL,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,2.0,3.0
SANTA ANA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,325.0,320.0,645.0
SANTA ROSA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,0.0,1.0,1.0
SENA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,3.0,0.0,3.0
SHINAOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,3.0,2.0,5.0
SUCRE,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,15.0,7.0,22.0
TARABUCO,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,2.0,3.0
TARIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,30.0,26.0,56.0
TIQUIPAYA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,15.0,9.0,24.0
TOTORA(CBBA),diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,4.0,4.0,8.0
TRINIDAD,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,33.0,25.0,58.0
TUPIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,12.0,16.0,28.0
UYUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,1.0,2.0
VALLEGRANDE,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,5.0,8.0,13.0
VILLA MONTES,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,7.0,6.0,13.0
VILLA TUNARI,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,233.0,160.0,393.0
WARNES,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,5.0,6.0,11.0
YACUIBA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,41.0,43.0,84.0
YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,24.0,15.0,39.0
YOCALLA,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,0.0,36.0,36.0
ZUDAÑEZ,diagnostico de egreso,      otros en menores de 5 anos,2014-02-01,1.0,2.0,3.0
ACHACACHI,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,101.0,64.0,165.0
AIQUILE,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,2.0,3.0,5.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,23.0,20.0,43.0
ATOCHA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,1.0,1.0,2.0
AZURDUY,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,19.0,22.0,41.0
BERMEJO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,173.0,115.0,288.0
BUENA VISTA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,1.0,4.0
CAMARGO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,2.0,1.0,3.0
CAMIRI,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,25.0,18.0,43.0
CAPINOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,0.0,2.0,2.0
CARANAVI,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,14.0,5.0,19.0
CHALLAPATA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,1.0,5.0,6.0
CHARAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,4.0,13.0,17.0
CLIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,7.0,2.0,9.0
COBIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,24.0,18.0,42.0
COCHABAMBA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,155.0,124.0,279.0
COLCAPIRHUA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,9.0,13.0,22.0
COTOCA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,2.0,2.0,4.0
CULPINA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,1.0,1.0,2.0
EL ALTO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,234.0,223.0,457.0
EL PUENTE(TJA),diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,9.0,11.0,20.0
EL TORNO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,3.0,6.0
GUAYARAMERIN,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,42.0,31.0,73.0
GUTIERREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,0.0,3.0
HUANUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,6.0,2.0,8.0
LA GUARDIA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,6.0,7.0,13.0
LA PAZ,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,435.0,492.0,927.0
LLALLAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,4.0,5.0,9.0
MAGDALENA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,1.0,3.0,4.0
MONTEAGUDO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,11.0,7.0,18.0
MONTERO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,75.0,89.0,164.0
ORURO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,51.0,51.0,102.0
PALOS BLANCOS,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,0.0,1.0,1.0
PORTACHUELO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,49.0,36.0,85.0
POTOSI,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,42.0,42.0,84.0
PUERTO RICO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,0.0,2.0,2.0
PUERTO SUAREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,2.0,1.0,3.0
PUERTO VILLARROEL,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,11.0,11.0,22.0
PUNATA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,12.0,14.0,26.0
QUILLACOLLO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,206.0,187.0,393.0
RIBERALTA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,42.0,36.0,78.0
ROBORE,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,2.0,3.0,5.0
RURRENABAQUE,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,7.0,5.0,12.0
SACABA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,41.0,38.0,79.0
SAN BORJA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,3.0,6.0
SAN CARLOS,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,8.0,6.0,14.0
SAN IGNACIO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,2.0,4.0,6.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,25.0,40.0,65.0
SAN JOAQUIN,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,2.0,0.0,2.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,7.0,3.0,10.0
SAN JUAN DE YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,9.0,12.0
SAN JULIAN,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,8.0,6.0,14.0
SAN MATIAS,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,0.0,3.0
SANTA ANA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,6.0,2.0,8.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,1880.0,478.0,2358.0
SHINAOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,1.0,4.0
SOPACHUY,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,1.0,4.0
TARABUCO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,1.0,0.0,1.0
TARIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,98.0,66.0,164.0
TIQUIPAYA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,14.0,30.0,44.0
TOTORA(CBBA),diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,6.0,2.0,8.0
TRINIDAD,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,44.0,27.0,71.0
TUPIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,14.0,17.0,31.0
UYUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,1.0,0.0,1.0
VALLEGRANDE,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,11.0,10.0,21.0
VILLA MONTES,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,8.0,8.0,16.0
VILLA TUNARI,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,108.0,83.0,191.0
VINTO,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,0.0,3.0
WARNES,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,3.0,2.0,5.0
YACUIBA,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,52.0,54.0,106.0
YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,22.0,13.0,35.0
ZUDAÑEZ,diagnostico de egreso,      otros en menores de 5 anos,2014-03-01,0.0,1.0,1.0
AIQUILE,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,5.0,5.0,10.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,27.0,31.0,58.0
ATOCHA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,3.0,2.0,5.0
AZURDUY,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,10.0,16.0,26.0
BERMEJO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,318.0,315.0,633.0
BUENA VISTA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,0.0,1.0,1.0
CAMARGO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,29.0,17.0,46.0
CAMIRI,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,26.0,20.0,46.0
CAPINOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,0.0,2.0,2.0
CARANAVI,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,15.0,13.0,28.0
CHALLAPATA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,5.0,8.0,13.0
CHARAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,18.0,9.0,27.0
CLIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,6.0,4.0,10.0
COBIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,31.0,23.0,54.0
COCHABAMBA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,183.0,136.0,319.0
COLCAPIRHUA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,16.0,12.0,28.0
COTOCA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,4.0,5.0,9.0
EL ALTO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,271.0,298.0,569.0
EL TORNO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,1.0,1.0,2.0
ENTRE RIOS TRJ,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,0.0,1.0,1.0
GUAYARAMERIN,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,22.0,20.0,42.0
HUANUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,1.0,0.0,1.0
LA GUARDIA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,2.0,5.0,7.0
LA PAZ,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,542.0,530.0,1072.0
LLALLAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,5.0,3.0,8.0
MAGDALENA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,4.0,5.0,9.0
MONTEAGUDO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,13.0,13.0,26.0
MONTERO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,87.0,79.0,166.0
ORURO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,33.0,41.0,74.0
PALOS BLANCOS,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,0.0,1.0,1.0
PORTACHUELO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,48.0,39.0,87.0
POTOSI,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,37.0,39.0,76.0
PUERTO SUAREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,5.0,2.0,7.0
PUERTO VILLARROEL,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,21.0,5.0,26.0
PUNATA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,22.0,21.0,43.0
QUILLACOLLO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,232.0,204.0,436.0
RIBERALTA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,18.0,30.0,48.0
ROBORE,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,4.0,0.0,4.0
RURRENABAQUE,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,13.0,3.0,16.0
SACABA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,36.0,36.0,72.0
SAN BORJA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,6.0,3.0,9.0
SAN CARLOS,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,5.0,2.0,7.0
SAN IGNACIO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,4.0,3.0,7.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,32.0,29.0,61.0
SAN JOAQUIN,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,2.0,1.0,3.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,7.0,7.0,14.0
SAN JULIAN,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,2.0,2.0,4.0
SAN LUCAS,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,1.0,1.0,2.0
SAN MATIAS,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,2.0,0.0,2.0
SAN RAFAEL,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,2.0,0.0,2.0
SAN RAMON BENI,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,2.0,2.0,4.0
SANTA ANA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,4.0,2.0,6.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,943.0,854.0,1797.0
SANTA ROSA,diagnostico de egreso,      otros en menores de 5 anos,2014-04-01,0.0,3.0,3.0
