municipality,group,variable,month,N° de beneficiarios(as) (niños/as) nuevos(as) del bono Juana Azurduy,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,18,18
AZURDUY,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,5,5
BATALLAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,12,12
BETANZOS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,10,10
BOLIVAR,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
BOYUIBE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,5,5
"CAIZA ""D""",actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,12,12
CAJUATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,15,15
CALACOTO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,9,9
CALAMARCA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
CAMARGO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
CAMIRI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,12,12
CAPINOTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,46,46
CAQUIAVIRI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
CARANAVI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,11,11
CARAPARI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,28,28
CHAQUI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
CHARAGUA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
CHARAÑA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
CHIMORE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
CHIPAYA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
COBIJA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,11,11
COCAPATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,17,17
COCHABAMBA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,485,485
COIPASA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
COLCAPIRHUA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,50,50
"COLCHA ""K""",actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
COLLANA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
COLOMI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,22,22
COLPA BELGICA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,9,9
COLQUENCHA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,18,18
COLQUIRI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
COMARAPA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,25,25
COPACABANA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
CORIPATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,10,10
CORO CORO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
COROICO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
CORQUE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,12,12
COTAGAITA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
COTOCA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,22,22
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,19,19
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
DESAGUADERO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,10,10
EL ALTO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,496,496
EL CHORO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,5,5
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,40,40
EL TORNO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,31,31
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,23,23
ESCOMA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
EUCALIPTUS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
GUANAY,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,5,5
GUAQUI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
GUAYARAMERIN,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,11,11
GUTIERREZ,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,17,17
HUACARETA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
HUANUNI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,16,16
HUARINA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,9,9
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
HUMANATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
ICHOCA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
ICLA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
INCAHUASI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,17,17
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
IXIAMAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,9,9
LA ASUNTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,29,29
LA GUARDIA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,22,22
LA PAZ,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,475,475
LAJA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,10,10
LICOMA PAMPA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
LLALLAGUA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
LORETO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
MAIRANA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,5,5
MECAPACA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,12,12
MINEROS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,18,18
MIZQUE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,15,15
MOCOMOCO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
MOJOCOYA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,23,23
MONTERO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,69,69
MORO MORO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
MOROCHATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,8,8
OCURI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
OKINAWA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,11,11
OMEREQUE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,10,10
ORURO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,284,284
PADCAYA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
PALCA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
PALOS BLANCOS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,10,10
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
PAMPA GRANDE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,11,11
PAPEL PAMPA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,8,8
PATACAMAYA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
PAZÑA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
PELECHUCO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
POCOATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,8,8
POCONA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,9,9
POOPO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,5,5
PORCO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
POROMA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
PORTACHUELO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
POSTRER VALLE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,97,97
PRESTO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,8,8
PUCARANI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,27,27
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,14,14
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,40,40
PUNA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
PUNATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,28,28
QUIABAYA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
QUILLACOLLO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,94,94
RAVELO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
RIBERALTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,76,76
ROBORE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,11,11
SABAYA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
SACABA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,209,209
SACABAMBA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,10,10
SACACA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
SAIPINA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,8,8
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
SAMAIPATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,11,11
SAN ANDRES,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,5,5
SAN BORJA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,67,67
SAN CARLOS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,71,71
SAN IGNACIO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,12,12
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,20,20
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,15,15
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,14,14
SAN LUCAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,13,13
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,22,22
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
SAN RAFAEL,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,4,4
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,83,83
SANTA ROSA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,12,12
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,2,2
SANTIVAÑES,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,9,9
SAPAHAQUI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,6,6
SENA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,5,5
SHINAOTA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,7,7
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,18,18
SICAYA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,3,3
SIPE SIPE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,33,33
SOPACHUY,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,1,1
SORACACHI,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,9,9
SORATA,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,24,24
SUCRE,actividades del establecimiento y con la comunidad,n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2011-01-01,190,190
