municipality,group,variable,month,Nacidos muertos atendidos por partera capacit,TOTAL
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,1,1
BOLPEBRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,3,3
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,4,4
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-08-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,2,2
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,2,2
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,2,2
PADILLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,2,2
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
REYES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
SOPACHUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
TOMINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
UMALA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-09-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,2,2
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,2,2
MORO MORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,3,3
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-10-01,3,3
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-11-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-11-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-11-01,1,1
PATACAMAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-11-01,1,1
SACABA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-11-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-11-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-11-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-11-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-11-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,3,3
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
PADILLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
SABAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
SAPAHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
SOPACHUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,3,3
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-12-01,1,1
