,group,variable,month,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
AUCAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,7,28,42,32,49,81
AYATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,8,9,59,65,67,74,141
AYO AYO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,10,56,73,62,83,145
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,25,26,225,230,250,256,506
AZURDUY,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,85,84,7,0,92,84,176
BATALLAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,11,15,121,130,132,145,277
BAURES,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,6,35,36,37,42,79
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,3,25,15,26,18,44
BELEN DE URMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,6,12,11,17,17,34
BELLA FLOR,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,0,27,19,30,19,49
BERMEJO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,64,85,156,172,220,257,477
BETANZOS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,17,26,278,248,295,274,569
BOLIVAR,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,24,6,72,36,96,42,138
BOLPEBRA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,1,18,14,23,15,38
BOYUIBE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,4,24,18,27,22,49
BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,7,79,98,88,105,193
CABEZAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,18,22,125,132,143,154,297
CAIROMA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,8,68,64,78,72,150
"CAIZA ""D""",control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,6,72,52,76,58,134
CAJUATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,11,9,64,62,75,71,146
CALACOTO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,8,9,28,28,36,37,73
CALAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,9,92,88,101,97,198
CAMARGO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,17,17,130,111,147,128,275
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,3,18,26,19,29,48
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,117,67,249,205,366,272,638
CAPINOTA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,28,27,223,184,251,211,462
CAQUIAVIRI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,9,59,41,69,50,119
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,3,176,166,186,169,355
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,71,46,307,290,378,336,714
CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,0,2,1,3,1,4
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,21,23,125,127,146,150,296
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,20,25,51,67,71,92,163
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,5,25,27,37,32,69
CATACORA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,0,4,9,4,9,13
CHACARILLA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,0,8,1,8,1,9
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,28,32,314,319,342,351,693
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,4,66,61,75,65,140
CHARAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,34,29,180,159,214,188,402
CHARAÑA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,0,10,13,11,13,24
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,20,12,86,113,106,125,231
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,95,55,201,194,296,249,545
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,15,15,1,1,16,16,32
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,1,6,8,7,9,16
CHUA COCANI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,4,7,6,9,10,19
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,30,24,52,64,82,88,170
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,11,71,65,75,76,151
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,5,40,37,52,42,94
CKOCHAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,25,26,112,101,137,127,264
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,47,44,191,137,238,181,419
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,61,64,426,401,487,465,952
COCAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,21,24,123,95,144,119,263
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2017,1850,3141,2868,5158,4718,9876
COIPASA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,0,5,7,5,7,12
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,91,80,310,316,401,396,797
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,7,11,98,119,105,130,235
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,0,22,10,25,10,35
COLOMI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,25,29,146,147,171,176,347
COLPA BELGICA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,16,10,2,2,18,12,30
COLQUECHACA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,45,40,270,263,315,303,618
COLQUENCHA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,6,63,53,65,59,124
COLQUIRI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,25,21,142,124,167,145,312
COMANCHE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,0,21,11,27,11,38
COMARAPA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,20,11,112,89,132,100,232
COMBAYA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,1,14,8,15,9,24
CONCEPCION,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,21,111,123,121,144,265
COPACABANA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,7,8,58,46,65,54,119
CORIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,14,10,125,96,139,106,245
CORO CORO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,3,63,52,66,55,121
COROICO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,27,19,95,90,122,109,231
CORQUE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,6,41,46,45,52,97
COTAGAITA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,22,150,118,162,140,302
COTOCA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,78,51,298,293,376,344,720
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,1,1,0,1,1,2
CUATRO CAÑADAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,19,12,133,117,152,129,281
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,1,13,6,15,7,22
CUEVO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,0,29,30,33,30,63
CULPINA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,25,19,134,135,159,154,313
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,6,32,42,37,48,85
CURVA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,3,18,35,21,38,59
DESAGUADERO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,6,28,30,34,36,70
EL ALTO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1205,1065,5331,5111,6536,6176,12712
EL CHORO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,1,44,49,45,50,95
EL PUENTE(STC),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,10,76,82,85,92,177
EL PUENTE(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,11,11,79,87,90,98,188
EL TORNO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,50,40,339,341,389,381,770
EL VILLAR,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,3,30,18,36,21,57
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,30,17,177,178,207,195,402
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,59,48,302,264,361,312,673
ESCARA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,1,0,0,0,1,1
ESCOMA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,7,24,27,29,34,63
ESMERALDA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,1,4,5,4,6,10
EUCALIPTUS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,57,55,4,5,61,60,121
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,5,18,19,18,24,42
EXALTACION,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,17,15,2,4,19,19,38
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,15,15,104,77,119,92,211
FILADELFIA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,7,47,51,52,58,110
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,21,20,117,126,138,146,284
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,16,18,63,52,79,70,149
GUANAY,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,22,154,145,164,167,331
GUAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,2,41,34,47,36,83
GUAYARAMERIN,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,124,117,395,380,519,497,1016
GUTIERREZ,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,22,18,136,148,158,166,324
HUACARETA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,8,62,71,74,79,153
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,4,21,29,25,33,58
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,1,18,16,20,17,37
HUANUNI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,37,21,210,214,247,235,482
HUARACAJE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,10,32,37,35,47,82
HUARINA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,4,29,37,31,41,72
HUATAJATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,3,23,27,32,30,62
HUAYLLAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,3,24,26,24,29,53
HUMANATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,7,29,20,32,27,59
ICHOCA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,8,24,24,27,32,59
ICLA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,7,9,57,64,64,73,137
INCAHUASI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,16,14,94,66,110,80,190
INGAVI (HUMAITA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,2,9,6,14,8,22
INQUISIVI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,16,12,64,57,80,69,149
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,0,5,7,6,7,13
IXIAMAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,13,76,80,88,93,181
JESUS DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,8,7,63,86,71,93,164
LA ASUNTA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,10,60,34,66,44,110
LA GUARDIA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,56,50,595,588,651,638,1289
LA PAZ,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2004,1359,3810,3581,5814,4940,10754
LA RIVERA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,2,0,0,4,2,6
LAGUNILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,6,48,67,52,73,125
LAJA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,15,113,103,125,118,243
LAS CARRERAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,2,25,24,29,26,55
LICOMA PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,1,43,23,46,24,70
LLALLAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,84,61,321,274,405,335,740
LLICA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,3,34,23,37,26,63
LORETO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,8,15,22,24,30,54
LURIBAY,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,5,56,50,60,55,115
MACHACAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,1,48,43,51,44,95
MACHARETI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,2,49,49,52,51,103
MAGDALENA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,21,17,95,94,116,111,227
MAIRANA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,18,13,89,77,107,90,197
MALLA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,1,11,17,15,18,33
MAPIRI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,12,107,114,119,126,245
MECAPACA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,37,38,55,28,92,66,158
MINEROS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,32,32,173,163,205,195,400
MIZQUE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,75,50,309,221,384,271,655
MOCOMOCO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,15,74,78,80,93,173
MOJINETE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,0,6,7,6,7,13
MOJOCOYA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,1,60,37,64,38,102
MONTEAGUDO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,33,42,193,212,226,254,480
MONTERO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,131,134,859,858,990,992,1982
MORO MORO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,3,22,20,22,23,45
MOROCHATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,12,103,90,113,102,215
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,3,14,17,16,20,36
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,1,4,1,4,2,6
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,2,32,23,34,25,59
OCURI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,15,15,108,105,123,120,243
OKINAWA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,5,119,108,125,113,238
OMEREQUE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,6,98,68,110,74,184
ORURO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,633,898,1764,1851,2397,2749,5146
PADCAYA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,11,11,126,121,137,132,269
PADILLA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,20,75,85,84,105,189
PAILON,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,88,60,139,124,227,184,411
PALCA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,32,32,103,94,135,126,261
PALOS BLANCOS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,59,63,175,200,234,263,497
PAMPA AULLAGAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,0,26,11,27,11,38
PAMPA GRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,15,10,50,58,65,68,133
PAPEL PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,7,5,30,41,37,46,83
PASORAPA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,7,6,14,9,21,15,36
PATACAMAYA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,16,9,159,160,175,169,344
PAZÑA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,3,54,56,57,59,116
PELECHUCO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,4,59,46,64,50,114
POCOATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,11,20,134,150,145,170,315
POCONA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,11,101,73,113,84,197
POJO (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,21,18,88,95,109,113,222
POOPO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,3,64,70,69,73,142
PORCO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,13,5,123,101,136,106,242
POROMA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,14,15,75,94,89,109,198
PORONGO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,17,49,36,59,53,112
PORTACHUELO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,27,18,66,72,93,90,183
PORVENIR,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,8,4,37,50,45,54,99
POSTRER VALLE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,0,1,11,12,11,13,24
POTOSI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,332,318,1226,1136,1558,1454,3012
PRESTO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,8,8,66,64,74,72,146
PUCARA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,0,17,8,18,8,26
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,31,24,236,201,267,225,492
PUERTO ACOSTA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,18,9,71,69,89,78,167
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,13,17,76,72,89,89,178
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,8,7,91,101,99,108,207
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,6,34,43,39,49,88
PUERTO QUIJARRO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,16,15,127,120,143,135,278
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,6,64,66,73,72,145
PUERTO SILES,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,17,7,0,0,17,7,24
PUERTO SUAREZ,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,115,120,6,6,121,126,247
PUERTO VILLARROEL,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,157,139,514,470,671,609,1280
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,20,16,149,141,169,157,326
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,121,114,169,134,290,248,538
QUIABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,4,17,17,20,21,41
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,516,432,477,440,993,872,1865
QUIME,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,8,91,69,101,77,178
QUIRUSILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,1,4,8,5,9,14
RAVELO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,16,11,112,103,128,114,242
REYES,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,14,86,85,98,99,197
RIBERALTA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,189,166,1022,1006,1211,1172,2383
ROBORE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,13,5,108,104,121,109,230
RURRENABAQUE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,4,116,99,126,103,229
SABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,1,4,31,23,32,27,59
SACABA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,291,207,1127,994,1418,1201,2619
SACABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,8,8,30,19,38,27,65
SACACA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,37,21,183,159,220,180,400
SAIPINA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,5,47,49,49,54,103
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,6,101,75,107,81,188
SAMAIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,7,9,63,59,70,68,138
SAN AGUSTIN,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,5,2,9,5,14,7,21
SAN ANDRES,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,10,91,84,103,94,197
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,1,18,14,21,15,36
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,4,3,8,6,12,9,21
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,4,62,69,64,73,137
SAN BENITO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,8,11,100,117,108,128,236
SAN BORJA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,49,55,310,313,359,368,727
SAN BUENA VENTURA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,6,73,87,83,93,176
SAN CARLOS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,31,45,175,179,206,224,430
SAN IGNACIO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,53,53,228,188,281,241,522
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,61,68,542,556,603,624,1227
SAN JAVIER(BNI),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,7,5,5,15,12,27
SAN JAVIER(STC),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,11,83,94,92,105,197
SAN JOAQUIN,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,3,58,43,64,46,110
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,91,120,6,4,97,124,221
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,15,14,80,55,95,69,164
SAN JULIAN,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,55,41,335,318,390,359,749
SAN LORENZO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,6,37,38,47,44,91
SAN LORENZO(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,20,20,191,168,211,188,399
SAN LUCAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,83,60,214,227,297,287,584
SAN MATIAS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,29,21,77,62,106,83,189
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,8,10,135,128,143,138,281
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,3,1,2,10,5,11,16
SAN PEDRO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,17,11,116,97,133,108,241
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,35,27,152,184,187,211,398
