,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,13,11,114,117,127,128,255
ARQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,15,8,165,139,180,147,327
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,29,28,128,152,157,180,337
ATOCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,6,70,75,74,81,155
AUCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,2,29,43,31,45,76
AYATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,12,6,86,58,98,64,162
AYO AYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,6,75,68,82,74,156
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,14,16,232,210,246,226,472
AZURDUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,76,73,10,5,86,78,164
BATALLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,22,17,95,87,117,104,221
BAURES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,1,23,20,26,21,47
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,3,15,7,15,10,25
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,1,12,12,13,13,26
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,1,16,19,17,20,37
BERMEJO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,25,30,141,127,166,157,323
BETANZOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,22,21,241,255,263,276,539
BOLIVAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,13,5,38,42,51,47,98
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,1,11,15,12,16,28
BOYUIBE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,4,21,23,22,27,49
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,21,7,88,77,109,84,193
CABEZAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,13,104,96,112,109,221
CAIROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,10,4,67,76,77,80,157
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,5,3,62,47,67,50,117
CAJUATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,6,46,50,53,56,109
CALACOTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,4,20,27,24,31,55
CALAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,12,87,88,91,100,191
CAMARGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,9,14,97,96,106,110,216
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,3,29,18,31,21,52
CAMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,70,50,182,172,252,222,474
CAPINOTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,10,189,196,195,206,401
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,5,37,49,43,54,97
CARACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,3,158,131,159,134,293
CARANAVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,9,317,266,325,275,600
CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,4,2,4,2,6
CARAPARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,13,14,104,86,117,100,217
CARIPUYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,9,7,57,75,66,82,148
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,5,2,12,13,17,15,32
CATACORA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,12,5,12,5,17
CHACARILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,0,5,2,7,2,9
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,32,27,245,207,277,234,511
CHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,3,73,42,77,45,122
CHARAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,4,167,162,173,166,339
CHARAÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,17,15,17,15,32
CHAYANTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,11,10,113,98,124,108,232
CHIMORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,64,55,176,191,240,246,486
CHIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,20,14,0,1,20,15,35
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,11,4,11,4,15
CHUA COCANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,0,13,5,14,5,19
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,19,13,39,27,58,40,98
CHUMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,9,76,78,83,87,170
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,9,3,44,33,53,36,89
CKOCHAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,39,34,115,92,154,126,280
CLIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,25,18,128,82,153,100,253
COBIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,72,56,243,243,315,299,614
COCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,17,10,148,113,165,123,288
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,863,605,2076,1891,2939,2496,5435
COIPASA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,7,6,7,6,13
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,51,54,237,216,288,270,558
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,9,9,89,79,98,88,186
COLLANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,1,13,10,15,11,26
COLOMI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,13,7,157,120,170,127,297
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,1,3,2,5,3,8
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,29,17,303,278,332,295,627
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,4,72,75,74,79,153
COLQUIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,9,17,92,102,101,119,220
COMANCHE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,0,26,22,30,22,52
COMARAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,5,93,89,99,94,193
COMBAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,5,1,8,13,13,14,27
CONCEPCION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,20,10,48,62,68,72,140
COPACABANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,10,52,34,58,44,102
CORIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,12,100,88,108,100,208
CORO CORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,5,9,49,51,54,60,114
COROICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,11,16,77,64,88,80,168
CORQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,6,58,38,64,44,108
COTAGAITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,16,15,116,89,132,104,236
COTOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,60,62,132,166,192,228,420
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,1,1,1,1,2
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,23,19,84,84,107,103,210
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,17,16,17,16,33
CUEVO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,2,35,38,36,40,76
CULPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,18,21,134,118,152,139,291
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,9,0,32,30,41,30,71
CURVA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,1,16,24,16,25,41
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,7,14,11,22,18,40
EL ALTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,532,526,3531,3121,4063,3647,7710
EL CHORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,3,42,30,42,33,75
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,8,92,86,98,94,192
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,17,14,71,67,88,81,169
EL TORNO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,51,52,228,221,279,273,552
EL VILLAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,2,30,26,31,28,59
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,14,18,132,142,146,160,306
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,30,27,271,299,301,326,627
ESCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,2,0,2,0,2
ESCOMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,11,5,22,35,33,40,73
ESMERALDA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,0,3,6,4,6,10
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,45,40,5,5,50,45,95
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,2,13,19,14,21,35
EXALTACION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,13,15,5,4,18,19,37
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,4,102,89,104,93,197
FILADELFIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,5,6,63,44,68,50,118
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,2,133,118,139,120,259
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,5,62,55,69,60,129
GUANAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,16,11,96,86,112,97,209
GUAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,3,34,29,38,32,70
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,51,64,348,329,399,393,792
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,11,7,162,151,173,158,331
HUACARETA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,8,64,62,71,70,141
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,3,22,14,28,17,45
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,3,15,21,17,24,41
HUANUNI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,18,23,137,112,155,135,290
HUARACAJE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,1,33,20,39,21,60
HUARINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,3,19,14,23,17,40
HUATAJATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,3,24,31,31,34,65
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,2,31,25,32,27,59
HUMANATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,0,24,26,27,26,53
ICHOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,0,37,19,39,19,58
ICLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,6,57,60,60,66,126
INCAHUASI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,9,94,81,102,90,192
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,3,3,3,3,6
INQUISIVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,6,56,47,58,53,111
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,1,3,0,3,1,4
IXIAMAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,7,54,60,61,67,128
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,11,67,82,73,93,166
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,12,12,48,52,60,64,124
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,64,56,280,252,344,308,652
LA PAZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,764,771,2662,2343,3426,3114,6540
LA RIVERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,4,0,0,4,4,8
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,5,4,49,47,54,51,105
LAJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,8,90,94,97,102,199
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,2,23,21,25,23,48
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,3,26,16,29,19,48
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,73,83,239,201,312,284,596
LLICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,4,9,20,12,24,36
LORETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,12,8,21,43,33,51,84
LURIBAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,1,62,52,66,53,119
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,3,38,31,39,34,73
MACHARETI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,2,57,51,64,53,117
MAGDALENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,16,8,62,59,78,67,145
MAIRANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,11,10,70,82,81,92,173
MALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,3,14,14,17,17,34
MAPIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,14,12,94,94,108,106,214
MECAPACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,35,25,54,45,89,70,159
MINEROS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,1,148,136,149,137,286
MIZQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,47,31,253,261,300,292,592
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,12,5,66,59,78,64,142
MOJINETE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,4,6,4,6,10
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,3,45,63,48,66,114
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,23,24,220,198,243,222,465
MONTERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,81,96,583,620,664,716,1380
MORO MORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,0,28,15,29,15,44
MOROCHATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,11,16,125,131,136,147,283
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,0,18,12,19,12,31
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,7,6,7,6,13
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,0,15,20,18,20,38
OCURI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,15,134,102,142,117,259
OKINAWA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,4,94,93,97,97,194
OMEREQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,10,7,95,48,105,55,160
ORURO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,227,227,1611,1519,1838,1746,3584
PADCAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,8,101,117,109,125,234
PADILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,5,63,83,66,88,154
PAILON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,39,32,96,90,135,122,257
PALCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,15,17,97,83,112,100,212
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,38,55,177,163,215,218,433
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,3,14,14,18,17,35
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,11,6,44,46,55,52,107
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,0,0,67,34,67,34,101
PASORAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,5,7,17,11,22,18,40
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,17,11,96,135,113,146,259
PAZÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,7,75,48,79,55,134
PELECHUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,4,37,30,45,34,79
POCOATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,21,16,155,141,176,157,333
POCONA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,17,12,104,71,121,83,204
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,13,7,80,77,93,84,177
POOPO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,4,36,35,40,39,79
PORCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,9,82,60,85,69,154
POROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,9,8,98,76,107,84,191
PORONGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,15,41,37,49,52,101
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,7,33,44,40,51,91
PORVENIR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,8,49,41,53,49,102
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,1,7,8,11,9,20
POTOSI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,231,229,848,716,1079,945,2024
PRESTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,5,3,54,70,59,73,132
PUCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,0,12,13,13,13,26
PUCARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,19,20,186,176,205,196,401
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,18,6,47,45,65,51,116
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,10,7,63,53,73,60,133
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,9,8,105,83,114,91,205
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,4,52,25,55,29,84
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,3,117,104,118,107,225
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,8,9,67,55,75,64,139
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,4,8,0,0,4,8,12
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,79,78,7,4,86,82,168
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,68,74,462,373,530,447,977
PUNA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,25,11,147,148,172,159,331
PUNATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,69,79,120,124,189,203,392
QUIABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,2,10,12,12,14,26
