,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,14,16,132,141,146,157,303
ARQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,10,11,109,111,119,122,241
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,26,19,95,95,121,114,235
ATOCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,10,95,86,103,96,199
AUCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,1,20,20,20,21,41
AYATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,3,37,29,42,32,74
AYO AYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,6,38,32,41,38,79
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,16,10,208,146,224,156,380
AZURDUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,142,133,13,15,155,148,303
BATALLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,9,68,94,76,103,179
BAURES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,2,43,30,46,32,78
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,1,30,18,30,19,49
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,1,7,9,11,10,21
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,2,28,29,28,31,59
BERMEJO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,31,22,94,81,125,103,228
BETANZOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,15,23,253,241,268,264,532
BOLIVAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,15,8,76,69,91,77,168
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,1,17,28,21,29,50
BOYUIBE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,4,30,34,35,38,73
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,15,14,70,50,85,64,149
CABEZAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,12,14,100,103,112,117,229
CAIROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,1,68,74,69,75,144
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,6,3,57,56,63,59,122
CAJUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,9,47,40,51,49,100
CALACOTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,4,18,12,19,16,35
CALAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,6,8,66,70,72,78,150
CAMARGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,14,16,123,140,137,156,293
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,6,3,54,27,60,30,90
CAMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,77,62,186,184,263,246,509
CAPINOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,21,8,137,117,158,125,283
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,2,41,18,44,20,64
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,0,162,174,163,174,337
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,11,25,199,235,210,260,470
CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,2,3,2,3,5
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,22,15,93,91,115,106,221
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,13,11,74,83,87,94,181
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,2,0,22,26,24,26,50
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,7,8,7,8,15
CHACARILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,1,7,12,8,13,21
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,22,10,191,181,213,191,404
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,6,2,39,39,45,41,86
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,16,12,266,229,282,241,523
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,0,13,22,14,22,36
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,12,8,61,85,73,93,166
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,59,63,148,153,207,216,423
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,34,25,2,0,36,25,61
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,0,8,11,9,11,20
CHUA COCANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,2,15,8,20,10,30
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,16,8,27,42,43,50,93
CHUMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,0,58,41,62,41,103
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,2,2,33,32,35,34,69
CKOCHAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,19,21,102,77,121,98,219
CLIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,18,18,117,124,135,142,277
COBIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,25,44,249,231,274,275,549
COCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,23,32,116,128,139,160,299
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,691,690,1200,1143,1891,1833,3724
COIPASA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,12,16,12,16,28
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,57,55,198,198,255,253,508
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,5,68,79,72,84,156
COLLANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,3,16,18,19,21,40
COLOMI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,11,11,94,113,105,124,229
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,2,7,5,8,7,15
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,19,28,127,142,146,170,316
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,4,32,41,37,45,82
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,5,93,88,96,93,189
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,21,13,21,13,34
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,7,7,68,58,75,65,140
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,0,13,12,16,12,28
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,15,13,41,33,56,46,102
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,12,15,54,56,66,71,137
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,5,78,75,82,80,162
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,2,3,36,49,38,52,90
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,5,62,74,66,79,145
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,3,46,29,50,32,82
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,16,14,131,134,147,148,295
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,49,38,117,103,166,141,307
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,5,5,5,5,10
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,40,39,95,94,135,133,268
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,8,2,8,2,10
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,2,64,66,69,68,137
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,22,13,150,158,172,171,343
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,11,24,18,29,29,58
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,35,24,35,24,59
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,0,9,12,12,12,24
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,445,395,1812,1833,2257,2228,4485
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,3,46,62,47,65,112
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,15,4,62,60,77,64,141
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,15,14,67,72,82,86,168
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,43,46,187,183,230,229,459
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,2,55,63,55,65,120
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,13,124,116,132,129,261
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,17,24,211,189,228,213,441
ESCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,3,2,3,2,5
ESCOMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,2,3,43,44,45,47,92
ESMERALDA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,4,5,4,5,9
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,48,35,4,5,52,40,92
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,0,23,30,24,30,54
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,31,23,47,1,78,24,102
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,2,106,85,107,87,194
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,3,32,32,40,35,75
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,15,13,121,96,136,109,245
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,10,5,46,53,56,58,114
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,16,6,105,124,121,130,251
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,6,3,26,15,32,18,50
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,39,45,311,261,350,306,656
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,15,14,232,224,247,238,485
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,6,5,104,99,110,104,214
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,6,4,58,45,64,49,113
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,2,1,45,20,47,21,68
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,17,22,114,116,131,138,269
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,0,18,32,22,32,54
HUARINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,3,23,34,24,37,61
HUATAJATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,2,6,19,28,21,34,55
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,2,0,38,20,40,20,60
HUMANATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,4,18,12,18,16,34
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,4,27,20,27,24,51
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,6,157,192,162,198,360
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,19,17,106,294,125,311,436
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,1,8,5,9,6,15
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,1,61,66,62,67,129
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,1,9,5,9,6,15
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,7,8,47,58,54,66,120
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,4,53,73,54,77,131
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,20,15,27,20,47,35,82
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,33,28,282,250,315,278,593
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,917,855,2119,2042,3036,2897,5933
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,8,119,109,123,117,240
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,9,5,55,54,64,59,123
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,1,40,42,40,43,83
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,0,30,22,31,22,53
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,59,72,60,57,119,129,248
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,3,16,6,16,9,25
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,7,13,58,54,65,67,132
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,2,61,59,64,61,125
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,3,39,36,40,39,79
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,3,119,105,127,108,235
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,6,6,58,69,64,75,139
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,10,5,43,46,53,51,104
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,10,9,36,22,46,31,77
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,10,92,77,100,87,187
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,35,32,47,40,82,72,154
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,16,14,119,126,135,140,275
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,32,28,195,178,227,206,433
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,11,11,65,63,76,74,150
MOJINETE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,7,3,7,3,10
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,10,14,90,101,100,115,215
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,37,27,209,193,246,220,466
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,83,81,430,436,513,517,1030
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,2,15,15,19,17,36
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,13,14,114,107,127,121,248
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,5,13,8,17,13,30
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,8,8,8,8,16
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,1,69,46,70,47,117
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,21,17,133,119,154,136,290
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,2,2,90,75,92,77,169
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,12,92,79,96,91,187
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,279,247,1047,957,1326,1204,2530
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,13,75,89,83,102,185
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,7,178,168,186,175,361
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,47,32,70,65,117,97,214
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,7,97,88,105,95,200
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,50,38,160,183,210,221,431
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,1,12,15,13,16,29
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,9,11,18,26,27,37,64
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,0,37,36,38,36,74
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,7,12,22,18,29,30,59
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,10,8,67,84,77,92,169
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,5,86,68,89,73,162
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,3,59,45,64,48,112
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,29,17,119,135,148,152,300
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,14,20,93,96,107,116,223
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,17,15,69,50,86,65,151
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,2,50,27,51,29,80
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,63,56,63,56,119
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,14,129,118,137,132,269
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,11,15,27,30,38,45,83
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,4,22,29,30,33,63
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,7,5,46,48,53,53,106
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,2,1,8,8,10,9,19
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,220,230,497,487,717,717,1434
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,6,107,79,111,85,196
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,0,11,22,12,22,34
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,13,9,132,111,145,120,265
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,6,45,31,53,37,90
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,4,76,74,79,78,157
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,1,103,121,104,122,226
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,3,41,40,44,43,87
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,1,1,74,62,75,63,138
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,6,6,71,52,77,58,135
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,15,2,0,10,15,25
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,47,42,0,0,47,42,89
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,56,50,347,321,403,371,774
PUNA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,10,12,113,150,123,162,285
PUNATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,65,78,112,105,177,183,360
QUIABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,4,28,22,31,26,57
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,224,288,258,237,482,525,1007
