,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,11,1,59,51,70,52,122
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,12,12,165,164,177,176,353
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,4,74,63,76,67,143
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,36,43,216,114,252,157,409
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,11,7,42,55,53,62,115
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,4,24,23,26,27,53
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,2,30,20,34,22,56
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,2,47,41,50,43,93
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,17,96,110,102,127,229
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,1,42,41,44,42,86
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,4,96,93,100,97,197
BAURES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,8,9,25,22,33,31,64
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,0,2,0,2,2
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,2,1,2,1,3
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,7,21,16,25,23,48
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,55,47,79,90,134,137,271
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,21,11,130,130,151,141,292
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,5,22,18,25,23,48
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,4,5,4,5,9
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,4,20,25,24,29,53
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,10,113,74,118,84,202
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,7,16,93,99,100,115,215
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,5,53,35,57,40,97
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,7,38,32,40,39,79
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,9,13,80,94,89,107,196
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,5,11,5,11,16
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,4,61,71,63,75,138
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,9,9,53,44,62,53,115
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,1,11,5,11,6,17
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,35,43,101,96,136,139,275
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,16,23,145,154,161,177,338
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,7,52,40,55,47,102
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,14,8,75,85,89,93,182
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,94,82,198,172,292,254,546
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,5,59,61,65,66,131
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,7,34,34,39,41,80
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,10,5,26,32,36,37,73
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,2,4,3,4,5,9
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,1,2,6,2,7,9
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,16,18,166,159,182,177,359
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,7,34,30,38,37,75
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,34,28,64,52,98,80,178
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,2,13,2,13,15
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,13,64,53,70,66,136
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,62,59,90,89,152,148,300
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,3,3,2,3,5,8
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,1,6,1,6,2,8
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,3,7,12,9,15,24
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,23,16,84,72,107,88,195
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,1,30,35,32,36,68
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,3,27,21,32,24,56
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,5,56,55,62,60,122
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,39,29,141,126,180,155,335
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,65,75,321,287,386,362,748
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,13,14,77,44,90,58,148
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,911,820,1917,1734,2828,2554,5382
COIPASA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,1,1,1,1,2
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,62,52,126,134,188,186,374
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,6,59,40,63,46,109
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,0,10,10,12,10,22
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,12,24,145,142,157,166,323
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,4,25,33,27,37,64
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,10,80,80,84,90,174
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,6,62,79,67,85,152
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,16,15,63,52,79,67,146
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,1,8,11,9,12,21
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,14,8,84,76,98,84,182
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,3,6,3,6,9
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,21,18,149,178,170,196,366
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,7,5,29,26,36,31,67
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,16,25,90,70,106,95,201
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,6,22,26,25,32,57
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,17,10,57,49,74,59,133
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,6,24,21,27,27,54
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,15,12,90,88,105,100,205
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,62,65,496,455,558,520,1078
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,6,121,114,124,120,244
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,1,3,4,5,5,10
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,15,21,0,4,15,25,40
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,12,10,63,78,75,88,163
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,22,18,22,18,40
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,0,9,9,10,9,19
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,10,12,17,14,27,41
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1583,981,3402,3095,4985,4076,9061
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,0,17,10,20,10,30
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,7,1,60,49,67,50,117
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,6,30,49,36,55,91
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,64,44,326,287,390,331,721
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,2,9,18,12,20,32
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,7,11,109,92,116,103,219
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,131,106,303,328,434,434,868
ESCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,0,1,0,1,1
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,4,12,14,15,18,33
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,1,1,1,1,2
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,1,28,19,29,20,49
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,1,9,11,9,12,21
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,10,15,6,5,16,20,36
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,8,6,53,58,61,64,125
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,1,35,43,39,44,83
GAIOC JATUN AYLLU YURA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,1,13,13,14,14,28
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,13,70,73,76,86,162
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,9,3,44,41,53,44,97
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,8,16,67,86,75,102,177
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,3,26,28,28,31,59
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,107,99,136,154,243,253,496
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,22,16,59,80,81,96,177
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,8,28,19,31,27,58
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,0,6,3,7,3,10
HUACHACALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,2,8,8,10,10,20
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,10,16,59,66,69,82,151
HUARACAJE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,4,25,22,28,26,54
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,3,21,19,24,22,46
HUATAJATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,12,14,12,14,26
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,1,16,12,16,13,29
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,3,11,8,11,11,22
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,3,17,12,20,15,35
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,3,19,12,20,15,35
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,2,55,58,60,60,120
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,3,8,18,11,21,32
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,4,45,43,49,47,96
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,10,41,31,47,41,88
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,7,6,53,59,60,65,125
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,2,69,54,70,56,126
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,40,49,194,205,234,254,488
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,181,200,499,468,680,668,1348
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1133,1135,1653,1564,2786,2699,5485
LA RIVERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,0,1,0,1,1
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,8,3,36,21,44,24,68
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,15,9,76,88,91,97,188
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,0,9,13,10,13,23
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,2,14,13,17,15,32
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,20,16,127,148,147,164,311
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,2,6,13,7,15,22
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,1,6,9,8,10,18
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,5,34,30,39,35,74
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,0,10,14,11,14,25
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,1,31,27,33,28,61
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,9,15,82,89,91,104,195
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,12,13,115,87,127,100,227
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,0,5,1,7,1,8
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,13,25,75,60,88,85,173
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,7,4,43,28,50,32,82
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,27,21,130,101,157,122,279
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,14,8,96,122,110,130,240
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,2,42,39,42,41,83
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,2,1,2,1,3
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,2,31,28,34,30,64
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,24,17,98,115,122,132,254
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,126,126,810,708,936,834,1770
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,2,9,12,11,14,25
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,10,28,38,34,48,82
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,1,32,16,32,17,49
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,0,1,3,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,2,6,3,12,5,17
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,3,44,44,47,47,94
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,7,21,19,25,26,51
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,3,36,43,37,46,83
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,419,391,1285,1294,1704,1685,3389
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,10,11,89,64,99,75,174
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,9,9,56,61,65,70,135
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,9,14,104,94,113,108,221
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,36,22,117,84,153,106,259
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,42,37,143,128,185,165,350
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,1,14,10,15,11,26
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,8,60,54,63,62,125
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,2,21,15,25,17,42
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,1,9,10,9,11,20
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,29,26,73,68,102,94,196
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,4,19,13,23,17,40
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,4,41,24,44,28,72
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,5,63,54,68,59,127
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,4,53,57,59,61,120
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,7,10,80,67,87,77,164
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,7,11,10,22,17,33,50
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,13,9,71,68,84,77,161
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,4,59,46,64,50,114
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,8,7,49,54,57,61,118
PORTACHUELO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,25,21,13,17,38,38,76
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,8,4,39,28,47,32,79
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,1,5,1,5,6
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,269,289,945,892,1214,1181,2395
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,1,18,24,23,25,48
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,5,6,5,6,11
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,17,15,164,153,181,168,349
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,8,6,28,24,36,30,66
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,2,42,33,45,35,80
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,4,5,44,46,48,51,99
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,22,21,22,21,43
PUERTO QUIJARRO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,10,9,90,71,100,80,180
