,group,variable,month,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARAMPAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,7,10,8,10,18
ARANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,2,2,2,4
ARQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,1,7,1,7,8
ATOCHA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,1,4,2,4,6
AYATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,1,0,0,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,4,8,18,11,22,19,41
AZURDUY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,6,3,49,49,55,52,107
BATALLAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,0,0,0,1,1
BAURES,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,2,2,3,2,5
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,2,2,3,3,6
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,0,3,0,4,4
BELLA FLOR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,8,10,8,10,18
BETANZOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,6,51,71,52,77,129
BOLIVAR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,4,5,5,6,11
BOYUIBE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,7,5,8,5,13
CABEZAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,4,15,13,17,17,34
CAIROMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,3,3,3,3,6
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,5,0,20,17,25,17,42
CAJUATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,0,0,0,2,0,2
CALACOTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,4,6,5,6,11
CAMARGO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,21,27,21,28,49
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,1,2,1,3
CAMIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,8,4,9,4,13
CAPINOTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,1,0,1,1
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,0,0,1,0,1
CARACOLLO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,3,10,3,10,13
CARANAVI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,4,2,4,6
CARIPUYO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,9,10,10,10,20
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,1,1,1,1,2
CHALLAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,14,17,14,17,31
CHAQUI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,3,1,3,2,5
CHARAGUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,0,5,4,7,4,11
CHARAÑA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,1,0,1,1,2
CHAYANTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,3,5,13,7,16,23
CHIMORE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,16,17,7,12,23,29,52
CHOQUE COTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,0,2,1,2,3
CHUMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,6,8,21,29,27,37,64
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,5,1,6,5,11,6,17
CKOCHAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,4,3,12,6,16,9,25
CLIZA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,9,1,9,1,10
COBIJA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,3,2,3,5
COCAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,3,4,15,20,18,24,42
COCHABAMBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,5,4,4,2,9,6,15
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,3,1,30,37,33,38,71
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,8,3,8,3,11
COLOMI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,5,1,0,0,5,1,6
COLQUECHACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,4,11,11,13,15,28
COLQUIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,17,9,18,10,28
COMARAPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,1,1,3,3,4,7
COMBAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,5,2,6,2,8
CONCEPCION,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,21,20,42,31,63,51,114
COPACABANA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,2,4,3,5,8
CORIPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,0,0,0,1,1
CORO CORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,0,2,0,2
CORQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,1,0,1,1
COTAGAITA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,19,19,20,20,40
COTOCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,6,2,6,8
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,2,3,3,4,5,9
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,7,7,8,7,15
CUEVO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,5,5,0,0,5,5,10
CULPINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,3,1,17,30,20,31,51
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,1,2,1,3
CURVA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,2,3,0,4,2,6
EL ALTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,35,33,307,329,342,362,704
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,5,10,5,11,16
EL TORNO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,0,0,0,1,1
EL VILLAR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,0,15,14,17,14,31
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,11,7,11,7,18
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,3,0,3,3
ESCOMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,2,2,2,4
EUCALIPTUS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,1,0,1,1
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,3,12,10,13,13,26
FILADELFIA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,7,14,7,14,21
GAIOC JATUN AYLLU YURA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,4,4,5,4,9
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,5,7,6,8,14
GUANAY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,4,0,8,9,12,9,21
GUTIERREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,1,2,1,3
HUACARETA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,4,16,14,17,18,35
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,0,18,10,20,10,30
HUARINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,4,0,4,4
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,1,0,1,1
HUMANATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,16,10,16,11,27
ICHOCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,7,7,8,7,15
ICLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,41,40,41,40,81
INCAHUASI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,4,6,32,24,36,30,66
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,1,1,1,1,2
INQUISIVI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,14,17,14,17,31
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,4,2,5,3,8
IXIAMAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,1,2,1,3
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,5,1,5,2,7
LA ASUNTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,4,5,0,0,4,5,9
LA PAZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,3,5,9,7,12,19
LAGUNILLAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,41,19,42,19,61
LAJA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,0,0,1,0,1
LAS CARRERAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,4,5,4,5,9
LLALLAGUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,24,35,34,45,58,80,138
LLICA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,3,1,3,1,4
LORETO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,6,1,6,1,7
LURIBAY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,3,0,3,3
MACHARETI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,9,10,9,11,20
MAGDALENA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,6,6,6,6,12
MAIRANA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,16,7,7,9,23,16,39
MALLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,2,9,4,9,6,15
MAPIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,0,1,1,1,2
MECAPACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,2,0,2,2
MINEROS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,2,0,2,2
MIZQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,2,9,13,11,15,26
MOCOMOCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,3,11,5,11,8,19
MOJOCOYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,5,13,5,13,18
MONTEAGUDO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,2,6,9,8,11,19
MONTERO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,1,0,1,1,2
MORO MORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,5,7,5,7,12
MOROCHATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,6,7,7,8,15
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,1,3,1,3,4
OCURI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,5,13,13,14,18,32
OMEREQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,6,6,20,20,26,26,52
ORURO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,4,11,4,11,15
PADCAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,3,1,3,2,5
PADILLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,5,10,5,10,15
PAILON,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,3,2,4,2,6
PALCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,4,7,2,8,6,14
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,6,4,7,4,11
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,1,0,1,1,2
PASORAPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,0,2,1,2,3
PAZÑA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,5,2,5,2,7
POCOATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,16,11,35,26,51,37,88
POCONA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,2,6,3,7,5,12
POJO (CBBA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,2,0,2,1,3
POOPO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,1,0,1,0,1
PORCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,2,5,5,5,7,12
POROMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,2,51,64,52,66,118
PORONGO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,4,1,4,2,6
PORTACHUELO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,1,0,1,1
POSTRER VALLE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,0,2,0,2
POTOSI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,15,7,30,34,45,41,86
PRESTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,2,30,40,30,42,72
PUCARANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,12,8,12,8,20
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,4,10,5,11,16
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,9,7,9,8,17
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,12,19,12,19,31
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,4,2,5,3,8
PUERTO RICO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,1,1,2,2,3,5
PUERTO SUAREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,3,2,3,2,6,4,10
PUERTO VILLARROEL,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,4,7,4,8,12
PUNA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,6,48,39,49,45,94
PUNATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,3,0,16,10,19,10,29
QUILLACOLLO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,8,4,75,72,83,76,159
QUIME,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,0,2,0,2
RAQAYPAMPA(ETA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,2,2,2,4
RAVELO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,5,7,78,62,83,69,152
RIBERALTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,11,16,13,18,24,34,58
SABAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,0,0,1,0,1
SACABA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,10,3,65,89,75,92,167
SACABAMBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,1,2,1,3
SACACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,4,8,27,27,31,35,66
SAIPINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,1,10,4,10,5,15
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,8,7,8,7,15
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,1,0,1,1
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,3,0,3,3
SAN BENITO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,1,0,1,1
SAN BORJA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,1,0,1,2,2,2,4
SAN BUENA VENTURA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,0,3,0,3,3
SAN IGNACIO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,14,7,0,0,14,7,21
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,16,22,37,40,53,62,115
SAN JAVIER(STC),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,3,22,29,24,32,56
SAN JOAQUIN,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,3,0,0,2,3,5
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,1,1,1,1,2
SAN JULIAN,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,3,5,5,5,8,13
SAN LORENZO(PND),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,0,0,2,0,2,0,2
SAN LORENZO(TJA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2022-01-01,2,2,7,8,9,10,19
