municipality,group,variable,month,N° de TBP BAAR (+) nuevos,TOTAL
SACABA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,5,5
SACACA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
SAMAIPATA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
SAN ANDRES,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,3,3
SAN CARLOS,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
SAN JULIAN,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
SAN PEDRO DE BUENA VISTA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,82,82
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
SANTIAGO DE CALLAPA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
SICA SICA (VILLA AROMA),tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
SIPE SIPE,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
SORATA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
SUCRE,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,13,13
TAPACARI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
TARIJA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,3,3
TEOPONTE,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
TINGUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
TIPUANI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
TIQUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
TIRAQUE (CBBA),tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
TOMINA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,18,18
UYUNI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
VIACHA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
VILLA MONTES,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
VILLA NUEVA (LOMA ALTA),tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
VILLA RIVERO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,10,10
VINTO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
WARNES,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
YACUIBA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,11,11
YAMPARAEZ,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,5,5
ACHACACHI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
ALALAY,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
APOLO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
ARANI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
BATALLAS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
BETANZOS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
BOYUIBE,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
CAMIRI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,10,10
CARAPARI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
CARIPUYO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
CHIMORE,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
CHUMA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,4,4
COBIJA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,4,4
COCHABAMBA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,31,31
"COLCHA ""K""",tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
COLPA BELGICA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
COMARAPA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
CONCEPCION,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
CORIPATA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
COROICO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
COTAGAITA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
COTOCA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
CUATRO CAÑADAS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
CULPINA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
EL ALTO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,29,29
EL PUENTE(TJA),tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
EL TORNO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,6,6
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
FERNANDEZ ALONSO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
GUANAY,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
GUAYARAMERIN,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
GUTIERREZ,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
INCAHUASI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
LA GUARDIA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,6,6
LA PAZ,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,33,33
LAGUNILLAS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
LAJA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
LLALLAGUA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
MAPIRI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
MONTERO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,10,10
ORURO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,4,4
PAILON,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
PALOS BLANCOS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,6,6
PAMPA GRANDE,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
PATACAMAYA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
PORONGO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
PORTACHUELO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
POTOSI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,17,17
PUERTO ACOSTA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
PUERTO CARABUCO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
PUERTO QUIJARRO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
PUERTO RICO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
PUERTO SUAREZ,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,8,8
PUNATA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
QUILLACOLLO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
RAVELO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,6,6
SACABA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,6,6
SAN ANDRES,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SAN ANTONIO DE LOMERIO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
SAN BORJA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
SAN CARLOS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
SAN IGNACIO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
SAN JAVIER(STC),tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
SAN JOSE DE CHIQUITOS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SAN JULIAN,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,5,5
SAN LUCAS,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
SAN PEDRO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SAN RAMON,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,74,74
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SANTIAGO DE CALLAPA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SANTIVAÑES,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SAPAHAQUI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SIPE SIPE,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
SORATA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
SUCRE,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,9,9
TACACOMA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
TAPACARI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
TARIJA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
TEOPONTE,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
TIPUANI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,4,4
TIQUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
TIRAQUE (CBBA),tuberculosis,n de tbp baar (+) nuevos,2009-02-01,4,4
TOLEDO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
TORO TORO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
TUPIZA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
UNCIA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
UYUNI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
VIACHA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
VILLA MONTES,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,3,3
VILLA TUNARI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,5,5
VINTO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
WARNES,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
YACO,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
YACUIBA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,2,2
YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,12,12
YOTALA,tuberculosis,n de tbp baar (+) nuevos,2009-02-01,1,1
ACHACACHI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
AIQUILE,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
APOLO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
ARQUE,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
AZURDUY,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,7,7
CABEZAS,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
CAJUATA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
CAMIRI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
CAPINOTA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,15,15
CARAPARI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
CHALLAPATA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
CHAQUI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
CHIMORE,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (+) nuevos,2009-03-01,5,5
CHUMA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
COBIJA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,7,7
COCHABAMBA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,29,29
COLCAPIRHUA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
CONCEPCION,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
COPACABANA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
CORIPATA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
COROICO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,5,5
COTOCA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,4,4
CUEVO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
CULPINA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
EL ALTO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,35,35
EL CHORO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
EL PUENTE(STC),tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
EL TORNO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,5,5
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,12,12
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
GUANAY,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
GUAYARAMERIN,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
GUTIERREZ,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
INQUISIVI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
IXIAMAS,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
LA ASUNTA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,5,5
LA GUARDIA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,4,4
LA PAZ,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,48,48
LAJA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
LLALLAGUA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
MAPIRI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
MONTEAGUDO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,4,4
MONTERO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,15,15
ORURO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,6,6
PADCAYA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
PALOS BLANCOS,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,5,5
PORTACHUELO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
POTOSI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,19,19
PUCARANI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
PUERTO CARABUCO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
PUERTO SUAREZ,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
PUERTO VILLARROEL,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,8,8
PUNA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
PUNATA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
QUILLACOLLO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
RAVELO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
ROBORE,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
RURRENABAQUE,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
SACABA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,5,5
SACACA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
SAN BUENA VENTURA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
SAN CARLOS,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,4,4
SAN IGNACIO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
SAN JAVIER(STC),tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,10,10
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
SAN JULIAN,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,7,7
SAN LUCAS,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
SAN PEDRO DE TIQUINA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
SAN RAMON,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
SANTA ANA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,87,87
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
SOPACHUY,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
SORATA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,4,4
SUCRE,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,14,14
TACACOMA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
TACOPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
TAPACARI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
TARABUCO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,4,4
TARIJA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,7,7
TEOPONTE,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
TIPUANI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,5,5
TIQUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
TIRAQUE (CBBA),tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
TITO YUPANQUI (PARQUIPUJIO),tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
TOMINA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
TORO TORO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
TOTORA(CBBA),tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,7,7
UMALA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
UYUNI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
VIACHA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,3,3
VILLA TUNARI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,10,10
VINTO,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,2,2
WARNES,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,6,6
YACUIBA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,11,11
YAMPARAEZ,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
YANACACHI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,6,6
YOTALA,tuberculosis,n de tbp baar (+) nuevos,2009-03-01,1,1
ACHACACHI,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
AIQUILE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
ARQUE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
ASCENCION DE GUARAYOS,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
BAURES,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,4,4
BETANZOS,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,2,2
BOYUIBE,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
BUENA VISTA,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
CABEZAS,tuberculosis,n de tbp baar (+) nuevos,2009-04-01,1,1
